date,location,indicator,value,description
2020-03-15,North East and Yorkshire,death_inc_line,3,All deaths (by date of death)
2020-03-15,North West,death_inc_line,4,All deaths (by date of death)
2020-03-15,Northern Ireland,death_inc_line,0,All deaths (by date of death)
2020-03-15,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-15,South East,death_inc_line,6,All deaths (by date of death)
2020-03-15,South West,death_inc_line,1,All deaths (by date of death)
2020-03-15,Wales,death_inc_line,0,All deaths (by date of death)
2020-03-16,East of England,death_inc_line,2,All deaths (by date of death)
2020-03-16,London,death_inc_line,15,All deaths (by date of death)
2020-03-16,Midlands,death_inc_line,13,All deaths (by date of death)
2020-03-16,North East and Yorkshire,death_inc_line,2,All deaths (by date of death)
2020-03-16,North West,death_inc_line,2,All deaths (by date of death)
2020-03-16,Northern Ireland,death_inc_line,0,All deaths (by date of death)
2020-03-16,Scotland,death_inc_line,1,All deaths (by date of death)
2020-03-16,South East,death_inc_line,8,All deaths (by date of death)
2020-03-16,Wales,death_inc_line,3,All deaths (by date of death)
2020-03-17,East of England,death_inc_line,2,All deaths (by date of death)
2020-03-17,London,death_inc_line,23,All deaths (by date of death)
2020-03-17,Midlands,death_inc_line,9,All deaths (by date of death)
2020-03-17,North East and Yorkshire,death_inc_line,2,All deaths (by date of death)
2020-03-17,North West,death_inc_line,4,All deaths (by date of death)
2020-03-17,Northern Ireland,death_inc_line,0,All deaths (by date of death)
2020-03-17,Scotland,death_inc_line,2,All deaths (by date of death)
2020-03-17,South East,death_inc_line,8,All deaths (by date of death)
2020-03-17,South West,death_inc_line,2,All deaths (by date of death)
2020-03-17,Wales,death_inc_line,0,All deaths (by date of death)
2020-03-18,East of England,death_inc_line,5,All deaths (by date of death)
2020-03-18,London,death_inc_line,26,All deaths (by date of death)
2020-03-18,Midlands,death_inc_line,12,All deaths (by date of death)
2020-03-18,North East and Yorkshire,death_inc_line,3,All deaths (by date of death)
2020-03-18,North West,death_inc_line,7,All deaths (by date of death)
2020-03-18,Northern Ireland,death_inc_line,1,All deaths (by date of death)
2020-03-18,Scotland,death_inc_line,0,All deaths (by date of death)
2020-03-18,South East,death_inc_line,11,All deaths (by date of death)
2020-03-18,South West,death_inc_line,3,All deaths (by date of death)
2020-03-18,Wales,death_inc_line,0,All deaths (by date of death)
2020-03-19,East of England,death_inc_line,5,All deaths (by date of death)
2020-03-19,London,death_inc_line,26,All deaths (by date of death)
2020-03-19,Midlands,death_inc_line,12,All deaths (by date of death)
2020-03-19,North East and Yorkshire,death_inc_line,4,All deaths (by date of death)
2020-03-19,North West,death_inc_line,8,All deaths (by date of death)
2020-03-19,Northern Ireland,death_inc_line,1,All deaths (by date of death)
2020-03-19,Scotland,death_inc_line,3,All deaths (by date of death)
2020-03-19,South East,death_inc_line,8,All deaths (by date of death)
2020-03-19,South West,death_inc_line,4,All deaths (by date of death)
2020-03-19,Wales,death_inc_line,3,All deaths (by date of death)
2020-03-20,East of England,death_inc_line,2,All deaths (by date of death)
2020-03-20,London,death_inc_line,45,All deaths (by date of death)
2020-03-20,Midlands,death_inc_line,23,All deaths (by date of death)
2020-03-20,North East and Yorkshire,death_inc_line,6,All deaths (by date of death)
2020-03-20,North West,death_inc_line,8,All deaths (by date of death)
2020-03-20,Northern Ireland,death_inc_line,0,All deaths (by date of death)
2020-03-20,Scotland,death_inc_line,5,All deaths (by date of death)
2020-03-20,South East,death_inc_line,15,All deaths (by date of death)
2020-03-20,South West,death_inc_line,3,All deaths (by date of death)
2020-03-20,Wales,death_inc_line,2,All deaths (by date of death)
2020-03-21,East of England,death_inc_line,10,All deaths (by date of death)
2020-03-21,London,death_inc_line,50,All deaths (by date of death)
2020-03-21,Midlands,death_inc_line,18,All deaths (by date of death)
2020-03-21,North East and Yorkshire,death_inc_line,6,All deaths (by date of death)
2020-03-21,North West,death_inc_line,12,All deaths (by date of death)
2020-03-21,Northern Ireland,death_inc_line,1,All deaths (by date of death)
2020-03-21,Scotland,death_inc_line,6,All deaths (by date of death)
2020-03-21,South East,death_inc_line,13,All deaths (by date of death)
2020-03-21,South West,death_inc_line,8,All deaths (by date of death)
2020-03-21,Wales,death_inc_line,7,All deaths (by date of death)
2020-03-22,East of England,death_inc_line,13,All deaths (by date of death)
2020-03-22,London,death_inc_line,53,All deaths (by date of death)
2020-03-22,Midlands,death_inc_line,34,All deaths (by date of death)
2020-03-22,North East and Yorkshire,death_inc_line,8,All deaths (by date of death)
2020-03-22,North West,death_inc_line,12,All deaths (by date of death)
2020-03-22,Northern Ireland,death_inc_line,1,All deaths (by date of death)
2020-03-22,Scotland,death_inc_line,5,All deaths (by date of death)
2020-03-22,South East,death_inc_line,28,All deaths (by date of death)
2020-03-22,South West,death_inc_line,6,All deaths (by date of death)
2020-03-22,Wales,death_inc_line,5,All deaths (by date of death)
2020-03-23,East of England,death_inc_line,13,All deaths (by date of death)
2020-03-23,London,death_inc_line,57,All deaths (by date of death)
2020-03-23,Midlands,death_inc_line,39,All deaths (by date of death)
2020-03-23,North East and Yorkshire,death_inc_line,12,All deaths (by date of death)
2020-03-23,North West,death_inc_line,19,All deaths (by date of death)
2020-03-23,Northern Ireland,death_inc_line,5,All deaths (by date of death)
2020-03-23,Scotland,death_inc_line,4,All deaths (by date of death)
2020-03-23,South East,death_inc_line,24,All deaths (by date of death)
2020-03-23,South West,death_inc_line,9,All deaths (by date of death)
2020-03-23,Wales,death_inc_line,4,All deaths (by date of death)
2020-03-24,East of England,death_inc_line,23,All deaths (by date of death)
2020-03-24,London,death_inc_line,89,All deaths (by date of death)
2020-03-24,Midlands,death_inc_line,41,All deaths (by date of death)
2020-03-24,North East and Yorkshire,death_inc_line,10,All deaths (by date of death)
2020-03-24,North West,death_inc_line,21,All deaths (by date of death)
2020-03-24,Northern Ireland,death_inc_line,2,All deaths (by date of death)
2020-03-24,Scotland,death_inc_line,7,All deaths (by date of death)
2020-03-24,South East,death_inc_line,29,All deaths (by date of death)
2020-03-24,South West,death_inc_line,6,All deaths (by date of death)
2020-03-24,Wales,death_inc_line,9,All deaths (by date of death)
2020-03-25,East of England,death_inc_line,25,All deaths (by date of death)
2020-03-25,London,death_inc_line,118,All deaths (by date of death)
2020-03-25,Midlands,death_inc_line,51,All deaths (by date of death)
2020-03-25,North East and Yorkshire,death_inc_line,18,All deaths (by date of death)
2020-03-25,North West,death_inc_line,19,All deaths (by date of death)
2020-03-25,Northern Ireland,death_inc_line,4,All deaths (by date of death)
2020-03-25,Scotland,death_inc_line,10,All deaths (by date of death)
2020-03-25,South East,death_inc_line,37,All deaths (by date of death)
2020-03-25,South West,death_inc_line,10,All deaths (by date of death)
2020-03-25,Wales,death_inc_line,10,All deaths (by date of death)
2020-03-26,East of England,death_inc_line,38,All deaths (by date of death)
2020-03-26,London,death_inc_line,125,All deaths (by date of death)
2020-03-26,Midlands,death_inc_line,69,All deaths (by date of death)
2020-03-26,North East and Yorkshire,death_inc_line,23,All deaths (by date of death)
2020-03-26,North West,death_inc_line,30,All deaths (by date of death)
2020-03-26,Northern Ireland,death_inc_line,2,All deaths (by date of death)
2020-03-26,Scotland,death_inc_line,11,All deaths (by date of death)
2020-03-26,South East,death_inc_line,40,All deaths (by date of death)
2020-03-26,South West,death_inc_line,11,All deaths (by date of death)
2020-03-26,Wales,death_inc_line,11,All deaths (by date of death)
2020-03-27,East of England,death_inc_line,43,All deaths (by date of death)
2020-03-27,London,death_inc_line,127,All deaths (by date of death)
2020-03-27,Midlands,death_inc_line,76,All deaths (by date of death)
2020-03-27,North East and Yorkshire,death_inc_line,32,All deaths (by date of death)
2020-03-27,North West,death_inc_line,39,All deaths (by date of death)
2020-03-27,Northern Ireland,death_inc_line,3,All deaths (by date of death)
2020-03-27,Scotland,death_inc_line,11,All deaths (by date of death)
2020-03-27,South East,death_inc_line,45,All deaths (by date of death)
2020-03-27,South West,death_inc_line,13,All deaths (by date of death)
2020-03-27,Wales,death_inc_line,10,All deaths (by date of death)
2020-03-28,East of England,death_inc_line,37,All deaths (by date of death)
2020-03-28,London,death_inc_line,121,All deaths (by date of death)
2020-03-28,Midlands,death_inc_line,96,All deaths (by date of death)
2020-03-28,North East and Yorkshire,death_inc_line,36,All deaths (by date of death)
2020-03-28,North West,death_inc_line,33,All deaths (by date of death)
2020-03-28,Northern Ireland,death_inc_line,8,All deaths (by date of death)
2020-03-28,Scotland,death_inc_line,29,All deaths (by date of death)
2020-03-28,South East,death_inc_line,38,All deaths (by date of death)
2020-03-28,South West,death_inc_line,23,All deaths (by date of death)
2020-03-28,Wales,death_inc_line,15,All deaths (by date of death)
2020-03-29,East of England,death_inc_line,50,All deaths (by date of death)
2020-03-29,London,death_inc_line,145,All deaths (by date of death)
2020-03-29,Midlands,death_inc_line,97,All deaths (by date of death)
2020-03-29,North East and Yorkshire,death_inc_line,41,All deaths (by date of death)
2020-03-29,North West,death_inc_line,46,All deaths (by date of death)
2020-03-29,Northern Ireland,death_inc_line,4,All deaths (by date of death)
2020-03-29,Scotland,death_inc_line,20,All deaths (by date of death)
2020-03-29,South East,death_inc_line,63,All deaths (by date of death)
2020-03-29,South West,death_inc_line,23,All deaths (by date of death)
2020-03-29,Wales,death_inc_line,18,All deaths (by date of death)
2020-03-30,East of England,death_inc_line,51,All deaths (by date of death)
2020-03-30,London,death_inc_line,152,All deaths (by date of death)
2020-03-30,Midlands,death_inc_line,101,All deaths (by date of death)
2020-03-30,North East and Yorkshire,death_inc_line,68,All deaths (by date of death)
2020-03-30,North West,death_inc_line,70,All deaths (by date of death)
2020-03-30,Northern Ireland,death_inc_line,4,All deaths (by date of death)
2020-03-30,Scotland,death_inc_line,27,All deaths (by date of death)
2020-03-30,South East,death_inc_line,67,All deaths (by date of death)
2020-03-30,South West,death_inc_line,29,All deaths (by date of death)
2020-03-30,Wales,death_inc_line,16,All deaths (by date of death)
2020-03-31,East of England,death_inc_line,75,All deaths (by date of death)
2020-03-31,London,death_inc_line,180,All deaths (by date of death)
2020-03-31,Midlands,death_inc_line,128,All deaths (by date of death)
2020-03-31,North East and Yorkshire,death_inc_line,65,All deaths (by date of death)
2020-03-31,North West,death_inc_line,60,All deaths (by date of death)
2020-03-31,Northern Ireland,death_inc_line,5,All deaths (by date of death)
2020-03-31,Scotland,death_inc_line,38,All deaths (by date of death)
2020-03-31,South East,death_inc_line,68,All deaths (by date of death)
2020-03-31,South West,death_inc_line,26,All deaths (by date of death)
2020-03-31,Wales,death_inc_line,15,All deaths (by date of death)
2020-04-01,East of England,death_inc_line,77,All deaths (by date of death)
2020-04-01,London,death_inc_line,189,All deaths (by date of death)
2020-04-01,Midlands,death_inc_line,153,All deaths (by date of death)
2020-04-01,North East and Yorkshire,death_inc_line,79,All deaths (by date of death)
2020-04-01,North West,death_inc_line,93,All deaths (by date of death)
2020-04-01,Northern Ireland,death_inc_line,4,All deaths (by date of death)
2020-04-01,Scotland,death_inc_line,44,All deaths (by date of death)
2020-04-01,South East,death_inc_line,83,All deaths (by date of death)
2020-04-01,South West,death_inc_line,24,All deaths (by date of death)
2020-04-01,Wales,death_inc_line,21,All deaths (by date of death)
2020-04-02,East of England,death_inc_line,73,All deaths (by date of death)
2020-04-02,London,death_inc_line,196,All deaths (by date of death)
2020-04-02,Midlands,death_inc_line,161,All deaths (by date of death)
2020-04-02,North East and Yorkshire,death_inc_line,82,All deaths (by date of death)
2020-04-02,North West,death_inc_line,109,All deaths (by date of death)
2020-04-02,Northern Ireland,death_inc_line,10,All deaths (by date of death)
2020-04-02,Scotland,death_inc_line,36,All deaths (by date of death)
2020-04-02,South East,death_inc_line,79,All deaths (by date of death)
2020-04-02,South West,death_inc_line,31,All deaths (by date of death)
2020-04-02,Wales,death_inc_line,28,All deaths (by date of death)
2020-04-03,East of England,death_inc_line,89,All deaths (by date of death)
2020-04-03,London,death_inc_line,193,All deaths (by date of death)
2020-04-03,Midlands,death_inc_line,138,All deaths (by date of death)
2020-04-03,North East and Yorkshire,death_inc_line,104,All deaths (by date of death)
2020-04-03,North West,death_inc_line,107,All deaths (by date of death)
2020-04-03,Northern Ireland,death_inc_line,10,All deaths (by date of death)
2020-04-03,Scotland,death_inc_line,57,All deaths (by date of death)
2020-04-03,South East,death_inc_line,80,All deaths (by date of death)
2020-04-03,South West,death_inc_line,32,All deaths (by date of death)
2020-04-03,Wales,death_inc_line,29,All deaths (by date of death)
2020-04-04,East of England,death_inc_line,78,All deaths (by date of death)
2020-04-04,London,death_inc_line,226,All deaths (by date of death)
2020-04-04,Midlands,death_inc_line,159,All deaths (by date of death)
2020-04-04,North East and Yorkshire,death_inc_line,120,All deaths (by date of death)
2020-04-04,North West,death_inc_line,103,All deaths (by date of death)
2020-04-04,Northern Ireland,death_inc_line,9,All deaths (by date of death)
2020-04-04,Scotland,death_inc_line,27,All deaths (by date of death)
2020-04-04,South East,death_inc_line,110,All deaths (by date of death)
2020-04-04,South West,death_inc_line,41,All deaths (by date of death)
2020-04-04,Wales,death_inc_line,31,All deaths (by date of death)
2020-04-05,East of England,death_inc_line,93,All deaths (by date of death)
2020-04-05,London,death_inc_line,199,All deaths (by date of death)
2020-04-05,Midlands,death_inc_line,178,All deaths (by date of death)
2020-04-05,North East and Yorkshire,death_inc_line,102,All deaths (by date of death)
2020-04-05,North West,death_inc_line,117,All deaths (by date of death)
2020-04-05,Northern Ireland,death_inc_line,11,All deaths (by date of death)
2020-04-05,Scotland,death_inc_line,44,All deaths (by date of death)
2020-04-05,South East,death_inc_line,102,All deaths (by date of death)
2020-04-05,South West,death_inc_line,37,All deaths (by date of death)
2020-04-05,Wales,death_inc_line,30,All deaths (by date of death)
2020-04-06,East of England,death_inc_line,78,All deaths (by date of death)
2020-04-06,London,death_inc_line,200,All deaths (by date of death)
2020-04-06,Midlands,death_inc_line,167,All deaths (by date of death)
2020-04-06,North East and Yorkshire,death_inc_line,107,All deaths (by date of death)
2020-04-06,North West,death_inc_line,107,All deaths (by date of death)
2020-04-06,Northern Ireland,death_inc_line,6,All deaths (by date of death)
2020-04-06,Scotland,death_inc_line,62,All deaths (by date of death)
2020-04-06,South East,death_inc_line,103,All deaths (by date of death)
2020-04-06,South West,death_inc_line,42,All deaths (by date of death)
2020-04-06,Wales,death_inc_line,20,All deaths (by date of death)
2020-04-07,East of England,death_inc_line,116,All deaths (by date of death)
2020-04-07,London,death_inc_line,223,All deaths (by date of death)
2020-04-07,Midlands,death_inc_line,148,All deaths (by date of death)
2020-04-07,North East and Yorkshire,death_inc_line,112,All deaths (by date of death)
2020-04-07,North West,death_inc_line,151,All deaths (by date of death)
2020-04-07,Northern Ireland,death_inc_line,8,All deaths (by date of death)
2020-04-07,Scotland,death_inc_line,47,All deaths (by date of death)
2020-04-07,South East,death_inc_line,115,All deaths (by date of death)
2020-04-07,South West,death_inc_line,47,All deaths (by date of death)
2020-04-07,Wales,death_inc_line,32,All deaths (by date of death)
2020-04-08,East of England,death_inc_line,116,All deaths (by date of death)
2020-04-08,London,death_inc_line,233,All deaths (by date of death)
2020-04-08,Midlands,death_inc_line,203,All deaths (by date of death)
2020-04-08,North East and Yorkshire,death_inc_line,128,All deaths (by date of death)
2020-04-08,North West,death_inc_line,133,All deaths (by date of death)
2020-04-08,Northern Ireland,death_inc_line,4,All deaths (by date of death)
2020-04-08,Scotland,death_inc_line,52,All deaths (by date of death)
2020-04-08,South East,death_inc_line,110,All deaths (by date of death)
2020-04-08,South West,death_inc_line,51,All deaths (by date of death)
2020-04-08,Wales,death_inc_line,42,All deaths (by date of death)
2020-04-09,East of England,death_inc_line,97,All deaths (by date of death)
2020-04-09,London,death_inc_line,204,All deaths (by date of death)
2020-04-09,Midlands,death_inc_line,162,All deaths (by date of death)
2020-04-09,North East and Yorkshire,death_inc_line,125,All deaths (by date of death)
2020-04-09,North West,death_inc_line,127,All deaths (by date of death)
2020-04-09,Northern Ireland,death_inc_line,18,All deaths (by date of death)
2020-04-09,Scotland,death_inc_line,63,All deaths (by date of death)
2020-04-09,South East,death_inc_line,127,All deaths (by date of death)
2020-04-09,South West,death_inc_line,32,All deaths (by date of death)
2020-04-09,Wales,death_inc_line,43,All deaths (by date of death)
2020-04-10,East of England,death_inc_line,77,All deaths (by date of death)
2020-04-10,London,death_inc_line,177,All deaths (by date of death)
2020-04-10,Midlands,death_inc_line,157,All deaths (by date of death)
2020-04-10,North East and Yorkshire,death_inc_line,137,All deaths (by date of death)
2020-04-10,North West,death_inc_line,134,All deaths (by date of death)
2020-04-10,Northern Ireland,death_inc_line,11,All deaths (by date of death)
2020-04-10,Scotland,death_inc_line,55,All deaths (by date of death)
2020-04-10,South East,death_inc_line,105,All deaths (by date of death)
2020-04-10,South West,death_inc_line,62,All deaths (by date of death)
2020-04-10,Wales,death_inc_line,25,All deaths (by date of death)
2020-04-11,East of England,death_inc_line,105,All deaths (by date of death)
2020-04-11,London,death_inc_line,164,All deaths (by date of death)
2020-04-11,Midlands,death_inc_line,176,All deaths (by date of death)
2020-04-11,North East and Yorkshire,death_inc_line,113,All deaths (by date of death)
2020-04-11,North West,death_inc_line,151,All deaths (by date of death)
2020-04-11,Northern Ireland,death_inc_line,11,All deaths (by date of death)
2020-04-11,Scotland,death_inc_line,52,All deaths (by date of death)
2020-04-11,South East,death_inc_line,110,All deaths (by date of death)
2020-04-11,South West,death_inc_line,42,All deaths (by date of death)
2020-04-11,Wales,death_inc_line,31,All deaths (by date of death)
2020-04-12,East of England,death_inc_line,105,All deaths (by date of death)
2020-04-12,London,death_inc_line,169,All deaths (by date of death)
2020-04-12,Midlands,death_inc_line,163,All deaths (by date of death)
2020-04-12,North East and Yorkshire,death_inc_line,112,All deaths (by date of death)
2020-04-12,North West,death_inc_line,156,All deaths (by date of death)
2020-04-12,Northern Ireland,death_inc_line,16,All deaths (by date of death)
2020-04-12,Scotland,death_inc_line,46,All deaths (by date of death)
2020-04-12,South East,death_inc_line,115,All deaths (by date of death)
2020-04-12,South West,death_inc_line,37,All deaths (by date of death)
2020-04-12,Wales,death_inc_line,37,All deaths (by date of death)
2020-04-13,East of England,death_inc_line,89,All deaths (by date of death)
2020-04-13,London,death_inc_line,175,All deaths (by date of death)
2020-04-13,Midlands,death_inc_line,145,All deaths (by date of death)
2020-04-13,North East and Yorkshire,death_inc_line,109,All deaths (by date of death)
2020-04-13,North West,death_inc_line,144,All deaths (by date of death)
2020-04-13,Northern Ireland,death_inc_line,7,All deaths (by date of death)
2020-04-13,Scotland,death_inc_line,39,All deaths (by date of death)
2020-04-13,South East,death_inc_line,97,All deaths (by date of death)
2020-04-13,South West,death_inc_line,45,All deaths (by date of death)
2020-04-13,Wales,death_inc_line,43,All deaths (by date of death)
2020-04-14,East of England,death_inc_line,75,All deaths (by date of death)
2020-04-14,London,death_inc_line,146,All deaths (by date of death)
2020-04-14,Midlands,death_inc_line,144,All deaths (by date of death)
2020-04-14,North East and Yorkshire,death_inc_line,124,All deaths (by date of death)
2020-04-14,North West,death_inc_line,151,All deaths (by date of death)
2020-04-14,Northern Ireland,death_inc_line,12,All deaths (by date of death)
2020-04-14,Scotland,death_inc_line,50,All deaths (by date of death)
2020-04-14,South East,death_inc_line,94,All deaths (by date of death)
2020-04-14,South West,death_inc_line,37,All deaths (by date of death)
2020-04-14,Wales,death_inc_line,26,All deaths (by date of death)
2020-04-15,East of England,death_inc_line,89,All deaths (by date of death)
2020-04-15,London,death_inc_line,147,All deaths (by date of death)
2020-04-15,Midlands,death_inc_line,168,All deaths (by date of death)
2020-04-15,North East and Yorkshire,death_inc_line,119,All deaths (by date of death)
2020-04-15,North West,death_inc_line,130,All deaths (by date of death)
2020-04-15,Northern Ireland,death_inc_line,16,All deaths (by date of death)
2020-04-15,Scotland,death_inc_line,41,All deaths (by date of death)
2020-04-15,South East,death_inc_line,90,All deaths (by date of death)
2020-04-15,South West,death_inc_line,41,All deaths (by date of death)
2020-04-15,Wales,death_inc_line,38,All deaths (by date of death)
2020-04-16,East of England,death_inc_line,88,All deaths (by date of death)
2020-04-16,London,death_inc_line,141,All deaths (by date of death)
2020-04-16,Midlands,death_inc_line,123,All deaths (by date of death)
2020-04-16,North East and Yorkshire,death_inc_line,119,All deaths (by date of death)
2020-04-16,North West,death_inc_line,157,All deaths (by date of death)
2020-04-16,Northern Ireland,death_inc_line,11,All deaths (by date of death)
2020-04-16,Scotland,death_inc_line,41,All deaths (by date of death)
2020-04-16,South East,death_inc_line,84,All deaths (by date of death)
2020-04-16,South West,death_inc_line,39,All deaths (by date of death)
2020-04-16,Wales,death_inc_line,35,All deaths (by date of death)
2020-04-17,East of England,death_inc_line,92,All deaths (by date of death)
2020-04-17,London,death_inc_line,111,All deaths (by date of death)
2020-04-17,Midlands,death_inc_line,160,All deaths (by date of death)
2020-04-17,North East and Yorkshire,death_inc_line,111,All deaths (by date of death)
2020-04-17,North West,death_inc_line,116,All deaths (by date of death)
2020-04-17,Northern Ireland,death_inc_line,9,All deaths (by date of death)
2020-04-17,Scotland,death_inc_line,37,All deaths (by date of death)
2020-04-17,South East,death_inc_line,104,All deaths (by date of death)
2020-04-17,South West,death_inc_line,50,All deaths (by date of death)
2020-04-17,Wales,death_inc_line,29,All deaths (by date of death)
2020-04-18,East of England,death_inc_line,78,All deaths (by date of death)
2020-04-18,London,death_inc_line,116,All deaths (by date of death)
2020-04-18,Midlands,death_inc_line,145,All deaths (by date of death)
2020-04-18,North East and Yorkshire,death_inc_line,116,All deaths (by date of death)
2020-04-18,North West,death_inc_line,134,All deaths (by date of death)
2020-04-18,Northern Ireland,death_inc_line,10,All deaths (by date of death)
2020-04-18,Scotland,death_inc_line,51,All deaths (by date of death)
2020-04-18,South East,death_inc_line,76,All deaths (by date of death)
2020-04-18,South West,death_inc_line,41,All deaths (by date of death)
2020-04-18,Wales,death_inc_line,32,All deaths (by date of death)
2020-04-19,East of England,death_inc_line,78,All deaths (by date of death)
2020-04-19,London,death_inc_line,117,All deaths (by date of death)
2020-04-19,Midlands,death_inc_line,129,All deaths (by date of death)
2020-04-19,North East and Yorkshire,death_inc_line,113,All deaths (by date of death)
2020-04-19,North West,death_inc_line,92,All deaths (by date of death)
2020-04-19,Northern Ireland,death_inc_line,10,All deaths (by date of death)
2020-04-19,Scotland,death_inc_line,44,All deaths (by date of death)
2020-04-19,South East,death_inc_line,104,All deaths (by date of death)
2020-04-19,South West,death_inc_line,50,All deaths (by date of death)
2020-04-19,Wales,death_inc_line,26,All deaths (by date of death)
2020-04-20,East of England,death_inc_line,75,All deaths (by date of death)
2020-04-20,London,death_inc_line,97,All deaths (by date of death)
2020-04-20,Midlands,death_inc_line,137,All deaths (by date of death)
2020-04-20,North East and Yorkshire,death_inc_line,119,All deaths (by date of death)
2020-04-20,North West,death_inc_line,105,All deaths (by date of death)
2020-04-20,Northern Ireland,death_inc_line,12,All deaths (by date of death)
2020-04-20,Scotland,death_inc_line,61,All deaths (by date of death)
2020-04-20,South East,death_inc_line,110,All deaths (by date of death)
2020-04-20,South West,death_inc_line,41,All deaths (by date of death)
2020-04-20,Wales,death_inc_line,25,All deaths (by date of death)
2020-04-21,East of England,death_inc_line,84,All deaths (by date of death)
2020-04-21,London,death_inc_line,106,All deaths (by date of death)
2020-04-21,Midlands,death_inc_line,118,All deaths (by date of death)
2020-04-21,North East and Yorkshire,death_inc_line,106,All deaths (by date of death)
2020-04-21,North West,death_inc_line,103,All deaths (by date of death)
2020-04-21,Northern Ireland,death_inc_line,13,All deaths (by date of death)
2020-04-21,Scotland,death_inc_line,50,All deaths (by date of death)
2020-04-21,South East,death_inc_line,85,All deaths (by date of death)
2020-04-21,South West,death_inc_line,46,All deaths (by date of death)
2020-04-21,Wales,death_inc_line,30,All deaths (by date of death)
2020-04-22,East of England,death_inc_line,78,All deaths (by date of death)
2020-04-22,London,death_inc_line,111,All deaths (by date of death)
2020-04-22,Midlands,death_inc_line,103,All deaths (by date of death)
2020-04-22,North East and Yorkshire,death_inc_line,114,All deaths (by date of death)
2020-04-22,North West,death_inc_line,122,All deaths (by date of death)
2020-04-22,Northern Ireland,death_inc_line,19,All deaths (by date of death)
